"id","title","first","last","url","n1","n2","n3","n4","n5"
"043374","近藤浩一路氏","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43374_26106.html",0,0,0,0,0
"001134","金春会の「隅田川」","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/1134_6760.html",53,49,47,31,20
"000136","西郷隆盛","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/136_15193.html",61,54,52,37,27
"003779","才一巧亦不二","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3779_27301.html",51,48,47,35,30
"000141","西方の人","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/141_15127.html",52,46,44,29,18
"003816","鷺と鴛鴦","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3816_27302.html",51,47,46,34,27
"051214","雑信一束","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/51214_56018.html",55,51,45,39,29
"003739","雑筆","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3739_27303.html",49,45,43,31,25
"004277","佐藤春夫氏","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/4277_6761.html",54,50,47,29,14
"043377","佐藤春夫氏の事","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/43377_17879.html",53,50,50,30,26
"000185","さまよえる猶太人","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/185_15194.html",56,51,49,35,27
"000137","寒さ","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/137_15195.html",59,53,49,36,24
"003820","沙羅の花","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/3820_27304.html",51,47,45,37,26
"000139","猿","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/139_15128.html",54,49,48,33,27
"000140","猿蟹合戦","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/140_15196.html",45,39,38,26,20
"000138","三右衛門の罪","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/138_15156.html",46,42,40,31,20
"000146","死後","芥川","竜之介","http://www.aozora.gr.jp/cards/000879/files/146_15197.html",58,55,53,40,25
